"scenario_id","scenario_label","scenario_family","method_id","claim_regime","adjustment_method","allocation_strategy","alpha","N","truth_delta_AB_minus_A","truth_delta_AB_minus_B","plan_delta_AB_minus_A","plan_delta_AB_minus_B","margin_AB_minus_A","margin_AB_minus_B","allocation_A","allocation_B","allocation_AB","n_A","n_B","n_AB","planned_analytic_joint_success"
"limiting_AB_minus_A__alpha_0p050","limiting_AB_minus_A","alternative","equal_iut_full","full_contribution","iut","equal",0.05,260,0.28,0.55,0.28,0.55,0,0,0.333333,0.333333,0.333333,87,87,86,0.5747
"limiting_AB_minus_A__alpha_0p050","limiting_AB_minus_A","alternative","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.05,260,0.28,0.55,0.28,0.55,0,0,0.292893,0.292893,0.414214,76,76,108,0.584796
"limiting_AB_minus_A__alpha_0p050","limiting_AB_minus_A","alternative","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.05,260,0.28,0.55,0.28,0.55,0,0,0.397549,0.199724,0.402727,103,52,105,0.628503
"limiting_AB_minus_A__alpha_0p050","limiting_AB_minus_A","alternative","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.05,260,0.28,0.55,0.28,0.55,0,0,0.373364,0.253898,0.372738,97,66,97,0.611798
"limiting_AB_minus_A__alpha_0p050","limiting_AB_minus_A","alternative","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.05,260,0.28,0.55,0.28,0.55,0,0,0.403183,0.193633,0.403183,105,50,105,0.629849
"limiting_AB_minus_A__alpha_0p050","limiting_AB_minus_A","alternative","equal_maxT_separate","separate_component_claims","maxT","equal",0.05,260,0.28,0.55,0.28,0.55,0,0,0.333333,0.333333,0.333333,87,87,86,0.465894
"limiting_AB_minus_B__alpha_0p050","limiting_AB_minus_B","alternative","equal_iut_full","full_contribution","iut","equal",0.05,260,0.55,0.28,0.55,0.28,0,0,0.333333,0.333333,0.333333,87,87,86,0.5747
"limiting_AB_minus_B__alpha_0p050","limiting_AB_minus_B","alternative","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.05,260,0.55,0.28,0.55,0.28,0,0,0.292893,0.292893,0.414214,76,76,108,0.584796
"limiting_AB_minus_B__alpha_0p050","limiting_AB_minus_B","alternative","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.05,260,0.55,0.28,0.55,0.28,0,0,0.199724,0.397549,0.402727,52,103,105,0.628503
"limiting_AB_minus_B__alpha_0p050","limiting_AB_minus_B","alternative","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.05,260,0.55,0.28,0.55,0.28,0,0,0.253898,0.373364,0.372738,66,97,97,0.611798
"limiting_AB_minus_B__alpha_0p050","limiting_AB_minus_B","alternative","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.05,260,0.55,0.28,0.55,0.28,0,0,0.193633,0.403183,0.403183,50,105,105,0.629849
"limiting_AB_minus_B__alpha_0p050","limiting_AB_minus_B","alternative","equal_maxT_separate","separate_component_claims","maxT","equal",0.05,260,0.55,0.28,0.55,0.28,0,0,0.333333,0.333333,0.333333,87,87,86,0.465894
"positive_margin__alpha_0p050","positive_margin","margin_sensitivity","equal_iut_full","full_contribution","iut","equal",0.05,280,0.55,0.55,0.55,0.55,0.1,0.1,0.333333,0.333333,0.333333,94,93,93,0.86897
